date_administered,administering_provider_type,new_primary_series_doses,new_recipients,new_series_completed,new_booster_doses,new_booster_recipients,new_2nd_booster_recipients,new_bivalent_booster_doses,new_bivalent_booster_recipients,cumulative_primary_series_doses,cumulative_recipients,cumulative_series_completed,cumulative_booster_doses,cumulative_booster_recipients,cumulative_2nd_booster_recipients,cumulative_bivalent_booster_doses,cumulative_bivalent_booster_recipients,data_as_of,data_updated_at,data_loaded_at
2021/01/09,All Providers,1432,899,536,0,0,0,0,0,26388,24098,2334,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/10,All Providers,905,441,465,0,0,0,0,0,27293,24539,2799,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/11,All Providers,2563,1440,1124,0,0,0,0,0,29856,25979,3923,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/12,All Providers,3067,1867,1201,0,0,0,0,0,32923,27846,5124,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/13,All Providers,2906,2016,890,0,0,0,0,0,35829,29862,6014,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/14,All Providers,2537,1980,558,0,0,0,0,0,38366,31842,6572,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/15,All Providers,2818,2414,409,0,0,0,0,0,41184,34256,6981,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/16,All Providers,2270,2098,174,0,0,0,0,0,43454,36354,7155,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/17,All Providers,1938,1625,313,0,0,0,0,0,45392,37979,7468,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/18,All Providers,1392,1128,264,0,0,0,0,0,46784,39107,7732,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/19,All Providers,2756,1842,915,0,0,0,0,0,49540,40949,8647,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/20,All Providers,2939,2138,802,0,0,0,0,0,52479,43087,9449,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/21,All Providers,3492,2606,888,0,0,0,0,0,55971,45693,10337,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/22,All Providers,3393,2891,503,0,0,0,0,0,59364,48584,10840,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/23,All Providers,3142,2744,400,0,0,0,0,0,62506,51328,11240,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/24,All Providers,2435,2191,244,0,0,0,0,0,64941,53519,11484,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/25,All Providers,4656,3066,1592,0,0,0,0,0,69597,56585,13076,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/26,All Providers,4828,3164,1667,0,0,0,0,0,74425,59749,14743,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/27,All Providers,4369,3038,1331,0,0,0,0,0,78794,62787,16074,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/28,All Providers,3946,2711,1237,0,0,0,0,0,82740,65498,17311,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/29,All Providers,4906,3593,1313,0,0,0,0,0,87646,69091,18624,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/30,All Providers,3739,3269,472,0,0,0,0,0,91385,72360,19096,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/01/31,All Providers,2336,2182,155,0,0,0,0,0,93721,74542,19251,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/01,All Providers,4063,2960,1105,0,0,0,0,0,97784,77502,20356,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/02,All Providers,4546,2982,1564,0,0,0,0,0,102330,80484,21920,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/03,All Providers,5133,3815,1319,0,0,0,0,0,107463,84299,23239,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/04,All Providers,5177,3946,1231,0,0,0,0,0,112640,88245,24470,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/05,All Providers,6208,4815,1396,0,0,0,0,0,118848,93060,25866,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/06,All Providers,5684,4835,851,0,0,0,0,0,124532,97895,26717,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/07,All Providers,4496,3940,559,0,0,0,0,0,129028,101835,27276,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/08,All Providers,7100,5814,1290,0,0,0,0,0,136128,107649,28566,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/09,All Providers,6274,4649,1627,0,0,0,0,0,142402,112298,30193,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/10,All Providers,7221,5303,1921,0,0,0,0,0,149623,117601,32114,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/11,All Providers,7056,5147,1912,0,0,0,0,0,156679,122748,34026,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/12,All Providers,5521,3604,1918,0,0,0,0,0,162200,126352,35944,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/13,All Providers,4453,3087,1367,0,0,0,0,0,166653,129439,37311,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/14,All Providers,3510,2346,1166,0,0,0,0,0,170163,131785,38477,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/15,All Providers,2830,1692,1138,0,0,0,0,0,172993,133477,39615,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/16,All Providers,5362,3145,2218,0,0,0,0,0,178355,136622,41833,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/17,All Providers,5566,3106,2462,0,0,0,0,0,183921,139728,44295,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/18,All Providers,5623,2884,2740,0,0,0,0,0,189544,142612,47035,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/19,All Providers,5899,3074,2825,0,0,0,0,0,195443,145686,49860,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/20,All Providers,4740,1772,2969,0,0,0,0,0,200183,147458,52829,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/21,All Providers,3047,1325,1723,0,0,0,0,0,203230,148783,54552,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/22,All Providers,5538,2780,2760,0,0,0,0,0,208768,151563,57312,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/23,All Providers,6084,3078,3006,0,0,0,0,0,214852,154641,60318,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/24,All Providers,9639,5198,4443,0,0,0,0,0,224491,159839,64761,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/25,All Providers,10799,6867,3933,0,0,0,0,0,235290,166706,68694,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/26,All Providers,13260,7729,5532,0,0,0,0,0,248550,174435,74226,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/27,All Providers,10071,4862,5212,0,0,0,0,0,258621,179297,79438,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/02/28,All Providers,8437,3999,4441,0,0,0,0,0,267058,183296,83879,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/01,All Providers,12498,6089,6427,0,0,0,0,0,279556,189385,90306,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/02,All Providers,12176,6775,5406,0,0,0,0,0,291732,196160,95712,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/03,All Providers,12430,6707,5723,0,0,0,0,0,304162,202867,101435,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/04,All Providers,10326,5836,4495,0,0,0,0,0,314488,208703,105930,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/05,All Providers,10509,6459,4059,0,0,0,0,0,324997,215162,109989,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/06,All Providers,7779,4980,3024,0,0,0,0,0,332776,220142,113013,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/07,All Providers,6228,3680,2729,0,0,0,0,0,339004,223822,115742,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/08,All Providers,9088,7155,2173,0,0,0,0,0,348092,230977,117915,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/09,All Providers,9144,6938,2667,0,0,0,0,0,357236,237915,120582,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/10,All Providers,12170,7981,4807,0,0,0,0,0,369406,245896,125389,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/11,All Providers,10672,7930,3833,0,0,0,0,0,380078,253826,129222,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/12,All Providers,11350,7663,5202,0,0,0,0,0,391428,261489,134424,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/13,All Providers,6899,5291,2672,0,0,0,0,0,398327,266780,137096,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/14,All Providers,7465,4115,3629,0,0,0,0,0,405792,270895,140725,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/15,All Providers,12108,9156,3888,0,0,0,0,0,417900,280051,144613,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/16,All Providers,12351,9056,3804,0,0,0,0,0,430251,289107,148417,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/17,All Providers,13626,10132,4143,0,0,0,0,0,443877,299239,152560,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/18,All Providers,10403,6356,4664,0,0,0,0,0,454280,305595,157224,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/19,All Providers,12793,6955,6342,0,0,0,0,0,467073,312550,163566,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/20,All Providers,8991,5549,3908,0,0,0,0,0,476064,318099,167474,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/21,All Providers,6521,3611,3063,0,0,0,0,0,482585,321710,170537,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/22,All Providers,10158,5958,5036,0,0,0,0,0,492743,327668,175573,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/23,All Providers,11584,6516,5714,0,0,0,0,0,504327,334184,181287,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/24,All Providers,12433,6408,6579,0,0,0,0,0,516760,340592,187866,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/25,All Providers,12219,6036,6758,0,0,0,0,0,528979,346628,194624,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/26,All Providers,12290,5878,6641,0,0,0,0,0,541269,352506,201265,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/27,All Providers,9207,4235,5331,0,0,0,0,0,550476,356741,206596,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/28,All Providers,6651,2765,3935,0,0,0,0,0,557127,359506,210531,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/29,All Providers,11836,4447,7593,0,0,0,0,0,568963,363953,218124,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/30,All Providers,12141,5516,6943,0,0,0,0,0,581104,369469,225067,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/03/31,All Providers,12699,5265,7761,0,0,0,0,0,593803,374734,232828,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/01,All Providers,14477,7648,8555,0,0,0,0,0,608280,382382,241383,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/02,All Providers,15198,8731,8338,0,0,0,0,0,623478,391113,249721,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/03,All Providers,10761,6703,5927,0,0,0,0,0,634239,397816,255648,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/04,All Providers,8820,5031,5465,0,0,0,0,0,643059,402847,261113,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/05,All Providers,16179,7831,10293,0,0,0,0,0,659238,410678,271406,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/06,All Providers,16432,8317,10293,0,0,0,0,0,675670,418995,281699,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/07,All Providers,17129,9240,10228,0,0,0,0,0,692799,428235,291927,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/08,All Providers,14641,9216,9858,0,0,0,0,0,707440,437451,301785,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/09,All Providers,15946,9946,9383,0,0,0,0,0,723386,447397,311168,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/10,All Providers,13129,8728,6287,0,0,0,0,0,736515,456125,317455,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/11,All Providers,9630,6068,4713,0,0,0,0,0,746145,462193,322168,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/12,All Providers,10927,6179,5953,0,0,0,0,0,757072,468372,328121,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/13,All Providers,11330,5755,5597,0,0,0,0,0,768402,474127,333718,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/14,All Providers,13608,6469,7145,0,0,0,0,0,782010,480596,340863,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/15,All Providers,14398,8534,5867,0,0,0,0,0,796408,489130,346730,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/16,All Providers,13504,7884,5663,0,0,0,0,0,809912,497014,352393,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/17,All Providers,10357,7101,3260,0,0,0,0,0,820269,504115,355653,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/18,All Providers,7093,4454,2642,0,0,0,0,0,827362,508569,358295,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/19,All Providers,11234,6989,4252,0,0,0,0,0,838596,515558,362547,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/20,All Providers,13281,8748,4536,0,0,0,0,0,851877,524306,367083,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/21,All Providers,12318,7324,5006,0,0,0,0,0,864195,531630,372089,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/22,All Providers,11703,6529,5175,0,0,0,0,0,875898,538159,377264,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/23,All Providers,11226,6434,4794,0,0,0,0,0,887124,544593,382058,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/24,All Providers,8273,4702,3571,0,0,0,0,0,895397,549295,385629,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/25,All Providers,5069,2928,2148,0,0,0,0,0,900466,552223,387777,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/26,All Providers,8741,4255,4505,0,0,0,0,0,909207,556478,392282,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/27,All Providers,9462,4729,4922,0,0,0,0,0,918669,561207,397204,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
2021/04/28,All Providers,10326,5362,5167,0,0,0,0,0,928995,566569,402371,0,0,0,0,0,11/01/2023 05:43:00 AM,11/01/2023 07:28:13 AM,11/01/2023 08:15:11 AM
